Name,Entrants,Country,City,State,Date,Prize Pool,Winner,2nd,3rd,4th,5th,6th,7th,8th
Smash Needs You,100,UK,Birmingham,,2010-08-12,1728,Armada,Zgetto,Faab,Makenshi,Fuzzyness,Neutroni,Aniolas,IVP
Revival of Melee 3,163,USA,Nanuet,NY,2010-11-21,1640,PPMD,Mew2King,KirbyKaze,Jman,Hungrybox,Lucky,Darc,VaNz
B.E.A.S.T.,100,Sweden,Gothenburg,,2011-01-09,1200,Armada,Amsah,Ice,Pasi,Zgetto,Hack,Calle W,Pamaro
Pound V,243,USA,Arlington,VA,2011-02-21,3645,PPMD,Armada,Hungrybox,Axe,Mew2King,Hax,Cactuar,VaNz
GENESIS 2,228,USA,Antioch,CA,2011-07-17,7425,Armada,Mango,Taj,Hungrybox,Mew2King,Shroomed,PPMD,S2J
B.E.A.S.T. 2,112,Sweden,Gothenburg,,2011-08-14,1300,Armada,Ice,Zgetto,Leffen,Hack,Aldwyn,Faab,IVP
Revival of Melee 4,110,USA,Nanuet,NY,2011-11-20,2200,Mango,PPMD,Mew2King,Jman,Hax,Kage,Azen,Teczero
Apex 2012,318,USA,New Brunswick,NJ,2012-01-08,6756,Armada,Hungrybox,Mango,Javi,PPMD,KirbyKaze,Hax,Shroomed
IMPULSE,78,Canada,Toronto,ON,2012-07-1,780,Mango,PPMD,Hungrybox,Mew2King,KirbyKaze,Vwins,Kage,Ryan Ford
Smashers' Reunion: Melee Grande,124,Norway,Eldsvoll,,2012-07-15,2368,Armada,PPMD,Leffen,Ice,Adam,Zgetto,Aldwyn,Overtriforce
MELEE-FC10R Legacy,146,USA,South Bend,IN,2012-08-14,1512,Mango,Hungrybox,Axe,SFAT,Kage,Hax,Kels,Darkrain
The Big House 2,128,USA,Ann Arbor,MI,2012-10-07,1920,Mango,Hungrybox,Fly Amanita,SFAT,Ryan Ford,KirbyKaze,Chillin,Frootloop
Kings of Cali,121,USA,Pasadena,CA,2012-11-10,1140,PPMD,Mango,Axe,Shroomed,Fly Amanita,PewPewU,Westballz,S2J
Apex 2013,336,USA,New Brunswick,NJ,2013-01-13,6540,Armada,PPMD,Mew2King,Mango,Hungrybox,Shroomed,Hax,KirbyKaze
B.E.A.S.T. 3,89,Sweden,Gothenburg,,2013-04-07,736,Mango,Ice,Overtriforce,Zgetto,Jeapie,Baxon,Android,Dev
Zenith 2013,126,USA,Morristown,NJ,2013-06-02,1260,Mango,Hungrybox,Mew2King,PPMD,DaShizWiz,Hax,ZoSo,Abate
Evo 2013,709,USA,Las Vegas,NV,2013-07-14,6960,Mango,Wobbles,Hungrybox,Armada,PPMD,Mew2King,Ice,Shroomed
The Big House 3,172,USA,Ann Arbor,MI,2013-10-13,2400,Mew2King,Hungrybox,PPMD,SFAT,Hax,Nintendude,Darkatma,PewPewU
Revival of Melee 6,118,USA,Nanuet,NY,2013-11-17,2360,Mew2King,Hungrybox,The Moon,Chillin,Darc,DJ Nintendo,Tope,Darrell
Kings of Cali 3,202,USA,Pasadena,CA,2013-12-15,1860,Mew2King,Fly Amanita,Shroomed,Axe,PewPewU,Westballz,Silent Wolf,Bladewise
Apex 2014,629,USA,Somerset,NJ,2014-01-19,10480,PPMD,Mew2King,Mango,Leffen,Hungrybox,Colbol,s0ft,Fiction
B.E.A.S.T. 4,160,Sweden,Gothenburg,,2014-02-15,960,Leffen,Armada,Ice,Overtriforce,Tekk,Fuzzyness,Android,Jeapie
Revival of Melee 7,113,USA,Nanuet,NY,2014-03-09,1695,Mango,Mew2King,Hungrybox,Darrell,KirbyKaze,Hax,DJ Nintendo,Weon-X
Get On My Level 2014,238,Canada,Toronto,ON,2014-05-11,2380,Mango,Hungrybox,Mew2King,KirbyKaze,Duck,DJ Nintendo,Weon-X,I.B
Republic of Fighters 3,192,France,Noisy-le-Grand,,2014-05-18,2365,Leffen,Armada,aMSa,Ice,Zgetto,Overtriforce,Jeapie,Fuzzyness
Pat's House 2,162,USA,La Jolla,CA,2014-05-25,1600,Mew2King,Hungrybox,Fly Amanita,Westballz,Lucky,SFAT,Axe,Shroomed
SKTAR 3,237,USA,Somerset,NJ,2014-06-01,2370,PPMD,Mew2King,Mango,Armada,Westballz,Hax,SFAT,Zhu
Super SWEET,165,USA,Ann Arbor,MI,2014-06-08,1600,Armada,Mew2King,Mango,Axe,Duck,Kels,Weon-X,ReynEX
MLG Anaheim 2014,325,USA,Anaheim,CA,2014-06-22,15000,Mango,Armada,Mew2King,PPMD,Leffen,Axe,Hax,Hungrybox
CEO 2014,262,USA,Orlando,FL,2014-06-29,2740,Armada,Mango,Hungrybox,Mew2King,Plup,Wizzrobe,Fiction,Colbol
Kings of Cali 4,208,USA,Los Angeles,CA,2014-07-06,1860,Mango,Armada,Mew2King,Lucky,aMSa,Fly Amanita,Westballz,Fiction
Evo 2014,970,USA,Las Vegas,NV,2014-07-13,9700,Mango,Hungrybox,Armada,PPMD,Mew2King,Axe,Fly Amanita,Silent Wolf
Zenith 2014,281,USA, Brooklyn ,NY,2014-08-03,3455,Mew2King,Hax,Zhu,Axe,Wizzrobe,Nintendude,ZeRo,The Moon
Tipped Off 10,175,USA,Doraville,GA,2014-09-21,2625,Hungrybox,Mew2King,Colbol,Wizzrobe,Axe,Plup,Gahtzu,s0ft
The Big House 4,574,USA,Romlus ,MI,2014-10-05,5740,Mango,Mew2King,Leffen,Armada,Hax,Lucky,Kels,Westballz
Do You Fox Wit It?,211,USA,Oakland,CA,2014-11-16,320,Hax,Silent Wolf,SFAT,Lucky,Fiction,Fly Amanita,Shroomed,PewPewU
Forte 2,227,USA,Austin,TX,2014-12-21,4405,Hungrybox,Axe,Wobbles,Javi,ARC,Aza,MacD,DoH
B.E.A.S.T. 5,375,Sweden,Gothenburg,,2015-01-11,6172,Leffen,Armada,Mango,Ice,Amsah,Professor Pro,Android,Zgetto
Paragon Orlando 2015,262,USA,Orlando,FL,2015-01-18,3610,Hungrybox,Mew2King,Leffen,Westballz,Armada,Plup,Axe,Shroomed
Apex 2015,1037,USA,Somerset,NJ,2015-02-01,18070,PPMD,Armada,Leffen,Mango,Hungrybox,aMSa,KirbyKaze,Shroomed
I'm Not Yelling!,316,USA,Oakland,CA,2015-04-12,4740,Armada,Mango,Leffen,PewPewU,Kira,Westballz,KirbyKaze,MacD
Sandstorm,231,USA,Tempe,AZ,2015-04-19,2310,Armada,Westballz,Axe,Hungrybox,Mango,Leffen,S2J,MacD
DrommeLAN 4.5,144,Norway,Sandvika,,2015-04-26,1440,Armada,Leffen,Fuzzyness,Android,Hack,Thomas,Rocky,Vdogg
Press Start,222,USA,Irvine,CA,2015-05-10,5750,Mango,Fly Amanita,Axe,Hungrybox,SFAT,Lucky,Shroomed,Mew2King
Battle Arena Melbourne 7,255,Australia,Melbourne,,2015-05-24,1780,Mango,Leffen,Lucky,S2J,HugS,Chillin,Spud,S.D
Get On My Level 2015,224,Canada,Toronto,ON,2015-05-31,1810,Hungrybox,Hax,KirbyKaze,MacD,Duck,DJ Nintendo,Ryan Ford,Sauc3
